EmployeeNumber,Over18,StandardHours,Age,Department,JobRole,BusinessTravel,MaritalStatus,MonthlyIncome,WorkLifeBalance,YearsAtCompany,JobSatisfaction,PerformanceRating,Attrition
98,Y,80,58,Sales,Manufacturing Director,Travel_Rarely,Married,5906,2,14,4,3,No
99,Y,80,45,Sales,Manager,Non-Travel,Divorced,6492,3,0,1,3,No
100,Y,80,24,Sales,Research Scientist,Non-Travel,Divorced,11730,2,2,3,3,No
101,Y,80,26,Research & Development,Manager,Non-Travel,Married,4073,3,4,1,3,No
102,Y,80,25,Research & Development,Manager,Non-Travel,Married,18696,3,16,3,3,No
103,Y,80,29,Sales,Research Scientist,Non-Travel,Married,8269,1,13,1,4,No
104,Y,80,51,Research & Development,Sales Executive,Non-Travel,Single,19194,4,8,2,4,No
105,Y,80,50,Sales,Manufacturing Director,Non-Travel,Single,8841,4,2,4,3,No
106,Y,80,40,Human Resources,Research Scientist,Non-Travel,Single,12955,3,12,2,3,No
107,Y,80,41,Human Resources,Laboratory Technician,Travel_Rarely,Married,4032,4,2,1,3,No
108,Y,80,54,Sales,Sales Executive,Non-Travel,Married,11699,2,10,1,3,No
109,Y,80,52,Research & Development,Laboratory Technician,Non-Travel,Single,14737,3,1,3,4,No
110,Y,80,57,Sales,Sales Executive,Non-Travel,Single,12762,1,14,1,3,No
111,Y,80,39,Research & Development,Manufacturing Director,Travel_Frequently,Married,9129,2,12,1,3,No
112,Y,80,44,Research & Development,Manufacturing Director,Travel_Rarely,Divorced,10788,1,18,1,3,No
113,Y,80,52,Sales,Manager,Travel_Rarely,Single,4147,1,15,2,3,No
114,Y,80,18,Research & Development,Laboratory Technician,Travel_Rarely,Married,2615,4,17,3,3,Yes
115,Y,80,52,Sales,Sales Executive,Non-Travel,Married,2947,4,6,2,3,No
116,Y,80,54,Sales,Manufacturing Director,Non-Travel,Divorced,7677,3,12,3,3,No
117,Y,80,31,Research & Development,Research Scientist,Travel_Frequently,Married,9866,4,3,2,3,Yes
118,Y,80,20,Research & Development,Manufacturing Director,Travel_Rarely,Married,4013,1,8,1,3,Yes
119,Y,80,18,Research & Development,Research Scientist,Non-Travel,Single,18874,1,9,2,3,No
120,Y,80,22,Research & Development,Sales Executive,Travel_Rarely,Single,6987,2,8,2,3,No
121,Y,80,43,Human Resources,Manufacturing Director,Travel_Frequently,Divorced,10733,1,6,3,3,No
122,Y,80,31,Sales,Manufacturing Director,Travel_Frequently,Divorced,11479,3,14,3,4,No
123,Y,80,56,Research & Development,Sales Executive,Travel_Frequently,Married,11825,3,7,2,3,Yes
124,Y,80,44,Research & Development,Manufacturing Director,Travel_Rarely,Single,4926,4,18,3,3,No
125,Y,80,26,Research & Development,Research Scientist,Non-Travel,Divorced,9282,4,10,3,3,Yes
126,Y,80,32,Human Resources,Manufacturing Director,Non-Travel,Divorced,17635,4,4,3,3,No
127,Y,80,32,Research & Development,Laboratory Technician,Travel_Frequently,Divorced,17847,3,1,4,3,No
128,Y,80,43,Research & Development,Manager,Non-Travel,Married,11490,1,9,3,3,No
129,Y,80,59,Research & Development,Research Scientist,Travel_Frequently,Single,8986,4,15,4,4,No
130,Y,80,30,Human Resources,Laboratory Technician,Travel_Rarely,Divorced,8862,2,12,4,3,No
131,Y,80,49,Human Resources,Sales Executive,Travel_Frequently,Single,14159,4,7,3,4,No
132,Y,80,56,Research & Development,Research Scientist,Travel_Rarely,Divorced,6423,3,8,2,4,No
133,Y,80,49,Research & Development,Manager,Travel_Frequently,Divorced,12450,4,10,3,4,No
134,Y,80,21,Sales,Manager,Non-Travel,Single,10159,1,10,1,3,No
135,Y,80,47,Sales,Sales Executive,Non-Travel,Single,4073,4,15,2,3,No
136,Y,80,54,Research & Development,Sales Executive,Travel_Frequently,Single,19085,3,9,4,3,No
137,Y,80,40,Sales,Research Scientist,Non-Travel,Married,12111,3,11,4,3,No
138,Y,80,56,Research & Development,Manufacturing Director,Non-Travel,Divorced,8825,2,5,2,3,Yes
139,Y,80,32,Sales,Sales Executive,Non-Travel,Married,12652,3,11,2,3,Yes
140,Y,80,46,Research & Development,Manufacturing Director,Travel_Rarely,Single,14454,2,9,3,3,No
141,Y,80,53,Research & Development,Laboratory Technician,Non-Travel,Divorced,9968,1,17,4,4,No
142,Y,80,30,Human Resources,Manager,Travel_Rarely,Married,14516,3,17,1,3,No
143,Y,80,49,Sales,Manufacturing Director,Travel_Frequently,Divorced,16290,4,3,3,3,No
144,Y,80,24,Research & Development,Manager,Non-Travel,Married,9776,1,8,2,3,No
145,Y,80,39,Research & Development,Manufacturing Director,Non-Travel,Single,10558,4,6,4,3,No
146,Y,80,45,Sales,Laboratory Technician,Non-Travel,Married,10719,4,17,2,3,No
147,Y,80,19,Research & Development,Sales Executive,Travel_Frequently,Divorced,6886,4,7,2,4,No
148,Y,80,59,Research & Development,Laboratory Technician,Travel_Rarely,Divorced,6619,1,10,2,3,No
149,Y,80,23,Research & Development,Sales Executive,Travel_Rarely,Divorced,15956,1,6,3,3,No
150,Y,80,45,Human Resources,Sales Executive,Non-Travel,Divorced,12345,3,8,1,4,Yes
151,Y,80,45,Sales,Manager,Travel_Frequently,Single,8875,4,7,1,3,Yes
152,Y,80,37,Research & Development,Laboratory Technician,Travel_Frequently,Married,12100,2,2,4,3,No
153,Y,80,47,Research & Development,Manufacturing Director,Travel_Frequently,Single,9856,3,16,2,4,No
154,Y,80,28,Sales,Laboratory Technician,Travel_Frequently,Single,7401,1,1,1,3,No
155,Y,80,45,Research & Development,Manager,Travel_Frequently,Single,5022,2,14,2,3,Yes
156,Y,80,42,Human Resources,Sales Executive,Travel_Rarely,Divorced,13675,1,13,4,3,No
157,Y,80,56,Sales,Manager,Travel_Rarely,Divorced,12912,2,17,2,3,No
158,Y,80,50,Research & Development,Research Scientist,Travel_Rarely,Divorced,7738,3,15,1,4,No
159,Y,80,18,Research & Development,Research Scientist,Non-Travel,Married,17126,2,19,2,3,Yes
160,Y,80,44,Research & Development,Manufacturing Director,Travel_Frequently,Divorced,3770,3,3,1,3,No
161,Y,80,30,Research & Development,Manager,Non-Travel,Married,14305,1,19,4,4,Yes
162,Y,80,58,Sales,Manufacturing Director,Travel_Frequently,Divorced,11969,2,5,2,4,No
163,Y,80,20,Human Resources,Manufacturing Director,Travel_Rarely,Divorced,14404,4,5,1,4,No
164,Y,80,56,Human Resources,Research Scientist,Non-Travel,Single,10989,4,10,4,3,Yes
165,Y,80,23,Research & Development,Manufacturing Director,Travel_Rarely,Single,5215,1,16,2,3,No
166,Y,80,25,Research & Development,Research Scientist,Travel_Frequently,Single,13980,2,2,4,3,Yes
167,Y,80,44,Research & Development,Sales Executive,Travel_Frequently,Married,8694,4,12,1,3,No
168,Y,80,26,Research & Development,Manager,Travel_Frequently,Married,19136,3,2,2,3,No
169,Y,80,54,Research & Development,Manufacturing Director,Travel_Rarely,Divorced,12661,2,15,2,3,No
170,Y,80,50,Research & Development,Research Scientist,Travel_Frequently,Married,3392,2,14,2,3,No
171,Y,80,59,Research & Development,Laboratory Technician,Travel_Rarely,Divorced,8789,4,10,4,4,No
172,Y,80,41,Research & Development,Manufacturing Director,Non-Travel,Married,16385,3,17,4,3,No
173,Y,80,32,Research & Development,Sales Executive,Travel_Frequently,Married,19061,3,14,1,3,No
174,Y,80,49,Sales,Sales Executive,Travel_Frequently,Married,2105,3,4,3,3,Yes
175,Y,80,49,Sales,Laboratory Technician,Travel_Frequently,Single,13479,2,15,2,3,No
176,Y,80,41,Research & Development,Research Scientist,Non-Travel,Married,3946,1,15,2,3,No
177,Y,80,58,Research & Development,Manufacturing Director,Travel_Frequently,Single,7544,2,16,1,3,No
178,Y,80,29,Research & Development,Research Scientist,Travel_Rarely,Single,19479,2,8,2,3,No
179,Y,80,56,Research & Development,Sales Executive,Travel_Rarely,Married,15275,4,2,4,3,No
180,Y,80,19,Research & Development,Research Scientist,Travel_Frequently,Divorced,8985,1,19,4,3,No
181,Y,80,20,Research & Development,Sales Executive,Travel_Frequently,Divorced,3782,3,12,2,3,No
182,Y,80,54,Research & Development,Research Scientist,Non-Travel,Divorced,8213,4,2,2,3,No
183,Y,80,34,Research & Development,Laboratory Technician,Non-Travel,Married,16485,2,6,4,3,Yes
184,Y,80,19,Research & Development,Manager,Non-Travel,Divorced,17605,1,5,2,3,No
185,Y,80,19,Research & Development,Laboratory Technician,Travel_Frequently,Single,6869,3,8,4,3,No
186,Y,80,45,Research & Development,Laboratory Technician,Non-Travel,Divorced,19945,3,11,3,3,No
187,Y,80,40,Sales,Manager,Non-Travel,Married,11867,2,14,3,3,No
188,Y,80,54,Sales,Manager,Travel_Rarely,Divorced,5981,3,19,2,4,No
189,Y,80,49,Sales,Manufacturing Director,Non-Travel,Single,11493,3,2,2,3,No
190,Y,80,50,Research & Development,Manufacturing Director,Travel_Rarely,Married,7682,1,9,2,4,No
191,Y,80,18,Research & Development,Laboratory Technician,Travel_Rarely,Divorced,7782,4,0,4,3,No
192,Y,80,36,Research & Development,Laboratory Technician,Non-Travel,Married,19327,1,18,3,3,Yes
193,Y,80,19,Research & Development,Sales Executive,Travel_Rarely,Married,11137,4,18,3,3,Yes
194,Y,80,43,Sales,Sales Executive,Travel_Frequently,Married,18984,4,12,1,3,No
195,Y,80,49,Research & Development,Manufacturing Director,Travel_Frequently,Divorced,15012,4,11,1,3,No
196,Y,80,23,Sales,Manufacturing Director,Non-Travel,Married,3524,3,0,2,3,No
197,Y,80,49,Research & Development,Sales Executive,Travel_Frequently,Divorced,18634,1,18,4,3,Yes
198,Y,80,21,Sales,Sales Executive,Travel_Rarely,Single,2078,3,15,2,3,No
199,Y,80,28,Research & Development,Research Scientist,Travel_Frequently,Divorced,5123,2,14,3,4,Yes
200,Y,80,34,Sales,Research Scientist,Non-Travel,Single,9064,1,15,2,4,No
201,Y,80,55,Human Resources,Sales Executive,Non-Travel,Divorced,15068,4,10,2,3,No
202,Y,80,41,Research & Development,Research Scientist,Travel_Rarely,Married,10417,3,5,3,3,No
203,Y,80,22,Research & Development,Manager,Non-Travel,Divorced,15362,3,10,3,4,Yes
204,Y,80,51,Research & Development,Manufacturing Director,Travel_Frequently,Married,3209,1,2,3,3,No
205,Y,80,23,Research & Development,Manufacturing Director,Non-Travel,Single,7153,1,14,3,3,No
206,Y,80,39,Research & Development,Sales Executive,Travel_Rarely,Divorced,6898,4,0,1,4,Yes
207,Y,80,28,Research & Development,Laboratory Technician,Non-Travel,Married,12871,4,6,4,3,No
208,Y,80,33,Research & Development,Sales Executive,Travel_Frequently,Single,9610,2,0,4,3,No
209,Y,80,50,Research & Development,Research Scientist,Travel_Rarely,Single,13077,4,16,3,3,Yes
210,Y,80,26,Research & Development,Laboratory Technician,Travel_Frequently,Divorced,17791,3,8,4,3,No
211,Y,80,23,Sales,Research Scientist,Travel_Rarely,Single,4544,2,12,4,4,Yes
212,Y,80,33,Research & Development,Manager,Non-Travel,Married,7522,2,10,4,3,No
213,Y,80,46,Research & Development,Research Scientist,Travel_Rarely,Single,4370,2,19,4,4,No
214,Y,80,20,Research & Development,Manager,Travel_Rarely,Single,6710,1,5,3,4,No
215,Y,80,37,Research & Development,Manager,Non-Travel,Married,2328,4,0,2,3,No
216,Y,80,53,Research & Development,Research Scientist,Travel_Frequently,Single,15683,2,6,2,3,No
217,Y,80,36,Human Resources,Research Scientist,Non-Travel,Single,7579,1,11,2,3,No
218,Y,80,43,Sales,Manager,Travel_Rarely,Single,15122,1,19,1,3,No
219,Y,80,20,Research & Development,Laboratory Technician,Non-Travel,Single,8794,2,18,4,3,No
220,Y,80,36,Research & Development,Manager,Travel_Rarely,Married,2120,2,16,3,3,Yes
221,Y,80,37,Research & Development,Manufacturing Director,Non-Travel,Single,8749,3,3,3,3,No
222,Y,80,49,Research & Development,Manager,Non-Travel,Married,15763,2,2,1,3,No
223,Y,80,24,Sales,Laboratory Technician,Travel_Frequently,Single,19348,3,0,3,3,No
224,Y,80,58,Research & Development,Manufacturing Director,Travel_Rarely,Single,17450,2,17,2,4,No
225,Y,80,50,Research & Development,Sales Executive,Travel_Frequently,Single,5675,2,14,1,3,No
226,Y,80,57,Research & Development,Sales Executive,Travel_Rarely,Single,7643,4,7,3,4,No
227,Y,80,56,Research & Development,Laboratory Technician,Non-Travel,Married,13560,2,0,1,3,No
228,Y,80,35,Research & Development,Manager,Travel_Rarely,Married,19700,2,19,1,3,No
229,Y,80,57,Research & Development,Research Scientist,Travel_Frequently,Married,19580,3,13,3,3,No
230,Y,80,18,Research & Development,Laboratory Technician,Travel_Frequently,Divorced,17383,3,3,2,3,No
231,Y,80,28,Sales,Manufacturing Director,Travel_Frequently,Single,5170,4,4,3,3,No
232,Y,80,45,Research & Development,Manufacturing Director,Travel_Rarely,Single,2355,2,12,4,3,No
233,Y,80,42,Sales,Sales Executive,Travel_Frequently,Married,11718,2,14,4,3,Yes
234,Y,80,40,Research & Development,Manufacturing Director,Travel_Frequently,Divorced,2028,3,5,3,3,No
235,Y,80,48,Research & Development,Laboratory Technician,Travel_Frequently,Single,16831,1,0,2,3,No
236,Y,80,47,Research & Development,Manufacturing Director,Non-Travel,Married,19397,1,18,4,3,No
237,Y,80,59,Research & Development,Laboratory Technician,Non-Travel,Single,12894,1,12,4,3,No
238,Y,80,52,Sales,Research Scientist,Travel_Rarely,Single,11019,3,5,3,3,No
239,Y,80,24,Research & Development,Sales Executive,Travel_Rarely,Married,14638,3,14,3,4,No
240,Y,80,33,Research & Development,Manufacturing Director,Travel_Frequently,Married,16889,1,15,3,4,No
241,Y,80,43,Research & Development,Laboratory Technician,Non-Travel,Single,4024,1,15,1,4,Yes
242,Y,80,19,Research & Development,Manager,Travel_Frequently,Single,7839,2,9,1,3,No
243,Y,80,18,Sales,Sales Executive,Travel_Frequently,Married,15503,3,8,1,3,No
244,Y,80,29,Research & Development,Research Scientist,Non-Travel,Single,12303,3,8,3,3,No
245,Y,80,22,Research & Development,Laboratory Technician,Non-Travel,Single,19138,1,16,2,3,No
246,Y,80,54,Research & Development,Research Scientist,Non-Travel,Married,19622,1,16,4,4,No
247,Y,80,49,Sales,Research Scientist,Travel_Rarely,Single,3906,4,16,1,3,No
248,Y,80,26,Sales,Manufacturing Director,Travel_Rarely,Single,9399,3,11,2,3,No
249,Y,80,58,Research & Development,Manufacturing Director,Travel_Frequently,Divorced,9961,4,12,3,3,Yes
250,Y,80,52,Research & Development,Laboratory Technician,Travel_Rarely,Married,14031,2,11,1,4,No
251,Y,80,36,Research & Development,Manager,Non-Travel,Divorced,17128,4,13,3,3,No
252,Y,80,33,Research & Development,Laboratory Technician,Non-Travel,Divorced,17663,1,9,2,3,Yes
253,Y,80,20,Research & Development,Manager,Travel_Rarely,Divorced,3460,3,18,1,3,No
254,Y,80,37,Sales,Research Scientist,Travel_Frequently,Single,17682,3,1,1,3,No
255,Y,80,41,Research & Development,Sales Executive,Travel_Frequently,Single,17193,4,3,1,4,No
256,Y,80,50,Research & Development,Laboratory Technician,Travel_Rarely,Divorced,19800,4,18,1,3,No
257,Y,80,41,Human Resources,Laboratory Technician,Travel_Frequently,Divorced,13045,2,6,2,3,No
258,Y,80,28,Sales,Manager,Travel_Frequently,Divorced,9766,2,14,1,4,No
259,Y,80,25,Research & Development,Research Scientist,Travel_Frequently,Single,19812,1,14,4,3,No
260,Y,80,53,Research & Development,Research Scientist,Non-Travel,Divorced,6378,1,5,4,3,No
261,Y,80,55,Research & Development,Manager,Non-Travel,Divorced,9529,1,2,3,3,No
262,Y,80,57,Research & Development,Research Scientist,Travel_Rarely,Married,5071,4,5,1,3,Yes
263,Y,80,37,Research & Development,Manufacturing Director,Non-Travel,Married,18939,4,15,4,3,No
264,Y,80,52,Research & Development,Sales Executive,Travel_Frequently,Single,19947,3,1,4,3,No
265,Y,80,42,Research & Development,Laboratory Technician,Non-Travel,Married,13692,1,6,4,4,No
266,Y,80,52,Research & Development,Sales Executive,Travel_Rarely,Married,3040,4,10,2,3,No
267,Y,80,42,Research & Development,Laboratory Technician,Non-Travel,Married,4686,3,6,1,4,No
268,Y,80,46,Research & Development,Manufacturing Director,Travel_Frequently,Single,14666,1,3,2,3,No
269,Y,80,35,Research & Development,Research Scientist,Travel_Frequently,Married,4553,2,19,2,3,No
270,Y,80,35,Sales,Manager,Travel_Rarely,Single,3779,2,6,4,4,Yes
271,Y,80,19,Human Resources,Manufacturing Director,Non-Travel,Divorced,15186,4,3,4,3,No
272,Y,80,52,Sales,Sales Executive,Non-Travel,Married,18459,3,11,3,3,No
273,Y,80,33,Sales,Manager,Non-Travel,Single,7057,2,4,1,3,No
274,Y,80,58,Sales,Research Scientist,Travel_Frequently,Married,4262,3,18,1,3,No
275,Y,80,53,Research & Development,Manufacturing Director,Travel_Rarely,Divorced,12308,3,4,4,3,No
276,Y,80,50,Sales,Manager,Non-Travel,Single,18776,2,18,4,3,No
277,Y,80,21,Sales,Manufacturing Director,Travel_Frequently,Single,19492,3,2,1,3,Yes
278,Y,80,50,Sales,Manufacturing Director,Travel_Frequently,Single,7188,2,10,3,3,Yes
279,Y,80,31,Sales,Research Scientist,Travel_Frequently,Divorced,10802,4,6,4,4,No
280,Y,80,38,Research & Development,Laboratory Technician,Non-Travel,Divorced,7057,1,16,3,4,No
281,Y,80,37,Research & Development,Manager,Non-Travel,Divorced,5998,1,8,2,3,No
282,Y,80,25,Research & Development,Research Scientist,Non-Travel,Single,10864,4,8,4,4,No
283,Y,80,24,Research & Development,Manufacturing Director,Non-Travel,Divorced,5677,2,9,2,3,No
284,Y,80,20,Research & Development,Research Scientist,Non-Travel,Married,7796,2,12,4,3,No
285,Y,80,34,Sales,Laboratory Technician,Non-Travel,Divorced,16450,2,14,2,3,No
286,Y,80,50,Research & Development,Manager,Non-Travel,Single,8363,2,4,4,3,No
287,Y,80,29,Human Resources,Laboratory Technician,Non-Travel,Married,10123,4,2,3,3,No
288,Y,80,39,Research & Development,Sales Executive,Non-Travel,Divorced,10222,1,7,3,3,No
289,Y,80,39,Sales,Manager,Travel_Frequently,Married,15654,3,19,3,3,No
290,Y,80,47,Research & Development,Laboratory Technician,Non-Travel,Married,19784,3,9,2,3,No
291,Y,80,55,Research & Development,Manufacturing Director,Travel_Rarely,Single,6071,1,12,3,4,No
292,Y,80,55,Research & Development,Manager,Travel_Frequently,Married,10808,4,2,2,3,No
293,Y,80,25,Sales,Manager,Non-Travel,Married,4786,3,7,4,3,No
294,Y,80,44,Sales,Research Scientist,Travel_Rarely,Single,2870,1,8,2,3,No
